# extractable_work for 8 qbits with connectivity gas in chunks 2
 (1.054350187913331849e-02+0.000000000000000000e+00j)  (1.054350187913331849e-02+0.000000000000000000e+00j)  (1.054350187913331849e-02+0.000000000000000000e+00j)  (1.054350187913331849e-02+0.000000000000000000e+00j)  (1.054350187913331849e-02+0.000000000000000000e+00j)  (7.548875021634701699e-02+0.000000000000000000e+00j)  (1.054350187913331675e-02+0.000000000000000000e+00j)  (1.054350187913331675e-02+0.000000000000000000e+00j)
 (2.546420432080398998e-03-6.043034557748785193e-20j)  (2.546420432080305756e-03+1.004994630739597508e-19j)  (6.204599688751419437e-05+2.062316155827530035e-20j)  (9.200199730589270555e-03-7.383131410248852789e-19j)  (2.546420432080398564e-03-2.876557833615482269e-21j)  (5.969037002737060532e-03+3.268352751095793500e-19j)  (3.111497659756024838e-04+2.858622436963453418e-20j)  (2.546420432080305756e-03-1.594988260401390596e-19j)
 (1.346427001029699630e-03-2.526376022812938964e-19j)  (4.064709574292547770e-04+1.009064925723361554e-19j)  (6.558149463170379750e-04+4.016480657304744457e-21j)  (2.090094783073055099e-04-2.073795805941863235e-20j)  (5.018634991703364292e-04-1.208548278951578049e-19j)  (4.388374245461623040e-04+3.154787225939756280e-20j)  (1.660761542028529013e-03-1.966483264384511908e-20j)  (3.454154529710013236e-04+6.835586086541721370e-20j)
 (1.793171427075281857e-04+6.346959497729490076e-20j)  (3.950121322095380546e-05-2.883362057895416620e-20j)  (4.485221935348421400e-06+3.601040286137320874e-21j)  (9.446472285085079636e-06-5.780315253717144896e-21j)  (2.481757745695205291e-06-1.367473271307519613e-20j)  (1.501597914271891182e-03-3.433142408041561862e-19j)  (2.583763110508884909e-04+6.710018612830905268e-20j)  (3.117403860894211423e-04-1.207720623550606540e-19j)
 (1.714363559251713242e-04-8.518684146393197201e-20j)  (2.099589134928652570e-06-1.311471686053027988e-20j)  (8.752941507846034299e-04-2.147389504783713777e-19j)  (1.802100448874200994e-04-1.258751339021630051e-19j)  (1.031888057680436258e-04+4.270757218769404469e-21j)  (4.360195943876281745e-05+7.584952991378889219e-20j)  (7.028916447304351940e-05-9.447473257852895192e-20j)  (3.121221884510918805e-05-2.005561363851074361e-20j)
 (5.746306325674366966e-05-7.570352835651463612e-20j)  (8.948531717204737568e-05+3.742188803835181795e-20j)  (1.018315139801348284e-04+1.680376170384875825e-19j)  (4.331708038377380394e-06+2.787428524929030032e-21j)  (2.272484640432691596e-04-2.727793748731896087e-19j)  (2.810957325940546182e-06-2.041674575928211637e-20j)  (1.432889431936568527e-06-1.322800287282551146e-20j)  (6.000958785614558518e-06-5.281301121845744695e-21j)
 (3.419036114627854164e-05+7.749783944623365212e-20j)  (4.304167602787391045e-06-2.809723734936520986e-20j)  (4.423244359734481004e-05-5.558873744406351119e-20j)  (6.522696930321706310e-04-4.523542847783681999e-19j)  (1.320044911290454103e-04+8.059825058462050356e-20j)  (1.842441763250377072e-04-1.859617605877651820e-19j)  (9.611462835665699812e-05-2.043900928469079466e-20j)  (4.479216747559032542e-06-2.304010927454586489e-20j)
 (3.651938417364122998e-05-1.212320159479283510e-19j)  (2.831076892043213789e-04+2.891096494341076101e-19j)  (2.262187459244420409e-04-1.592928757276725739e-19j)  (2.291386534200538642e-04-1.076025433725300976e-19j)  (5.644941345126606118e-07-9.204457281733279608e-21j)  (1.073769658789201561e-05-9.561716555631105936e-21j)  (3.904098498507760001e-10-1.937407385320791849e-23j)  (4.364866018324917282e-05+7.301641232124205674e-20j)
 (3.094625743952908112e-04-3.780049719985974938e-19j)  (6.178717922145298238e-05-7.181714852355635812e-20j)  (9.179134323397588474e-05+4.597148105781299529e-20j)  (3.157325305785827429e-04+3.872799309539585155e-19j)  (1.780407517068751278e-05-1.897981585170604331e-20j)  (5.887769563724183950e-06+7.375241837303927394e-21j)  (7.138304976385609888e-05-7.820080876104705268e-20j)  (1.769668333735577434e-04-1.067172961159779217e-20j)
 (1.998772527179957025e-06+7.835118859820428956e-21j)  (4.250238734890018861e-05+8.414804175000933708e-20j)  (9.970523847861621693e-06+1.114851021466170773e-20j)  (4.208831292000547875e-06-7.318869444614615720e-21j)  (1.686970588499536725e-05-6.559690916632867395e-21j)  (4.433731823683975898e-05+7.726599571713202559e-20j)  (2.309815035252606134e-05+7.765001603088785223e-20j)  (5.936717066456240026e-06+2.856955978031654611e-20j)
 (1.618557367032431426e-04+1.498559750454841259e-19j)  (6.423172204483882459e-05+5.789775423290058956e-20j)  (3.676830432868381402e-04-9.208571730794061317e-20j)  (4.366653737572070764e-04+3.804534030935218552e-19j)  (1.223016288473472758e-04+2.499754375265510829e-19j)  (6.656865732052537929e-05-7.295691880529942374e-20j)  (4.429609662502916934e-05+5.690426783256952465e-20j)  (9.651619141304291006e-07-5.949450661139026598e-21j)
 (8.949757499334938873e-04+1.992637512967081428e-19j)  (1.308352495101512995e-04+5.836511674687689785e-20j)  (3.530839528210007633e-05-4.799414066668973910e-20j)  (4.494567445588295393e-06-3.505563488283020984e-20j)  (1.204203429843461000e-04-1.464508811018709810e-19j)  (3.027547944091758879e-04-2.701600206426546167e-19j)  (2.268793774877062824e-05-7.452282258745108484e-20j)  (2.393049628897339002e-04+3.921218049660359818e-19j)
